Status,NatureServe status code,Number of species,,,,,,,,
National conservation status rank,-,-,,,,,,,,
Presumed extirpated,NX,40,,,,,,,,
Possibly extirpated,NH,95,,,,,,,,
Critically imperiled,N1,873,,,,,,,,
Imperiled,N2,1245,,,,,,,,
Vulnerable,N3,2765,,,,,,,,
Apparently secure,N4,9562,,,,,,,,
Secure,N5,10038,,,,,,,,
Unrankable,NU,20448,,,,,,,,
Unranked,NNR,1549,,,,,,,,
Not applicable (species is not a target of conservation activities),NNA,-,,,,,,,,
Exotic,-,3220,,,,,,,,
Accidentally occurring,-,699,,,,,,,,
Total ,-,50534,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,1
